    12>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.codeforces\1749a.cpp(10,19): error C2131: выражение не определяется константой [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.codeforces\1749a.vcxproj]
    14>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.codeforces\0978a.cpp(8,11): error C2131: выражение не определяется константой [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.codeforces\0978a.vcxproj]
    14>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.codeforces\0978a.cpp(15,24): error C3863: тип массива "int [n]" является неназначаемым [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.codeforces\0978a.vcxproj]
     6>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.codeforces\0339a.cpp(3,10): error C1083: Не удается открыть файл включение: bits/stdc++.h: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.codeforces\0339a.vcxproj]
    14>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.codeforces\0978a.cpp(13,21): error C2296: "*": недопустимо, поскольку тип левого операнда — "int [n]" [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.codeforces\0978a.vcxproj]
    22>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_bitset\doctest_bitset_moveable.cpp(3,10): error C1083: Не удается открыть файл включение: bitset/bitset.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset_m.vcxproj]
    21>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_bitset\doctest_bitset.cpp(3,10): error C1083: Не удается открыть файл включение: bitset/bitset.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_bitset\doctest_bitset.vcxproj]
    26>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_dynarr\doctest_dynarr.cpp(3,10): error C1083: Не удается открыть файл включение: dynarr/dynarr.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_dynarr\doctest_dynarr.vcxproj]
    28>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(3,10): error C1083: Не удается открыть файл включение: queuearr/queuearr.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    29>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_queuearr\doctest_queuearr_moveable.cpp(3,10): error C1083: Не удается открыть файл включение: queuearr/queuearr.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr_m.vcxproj]
    27>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_dynarr\doctest_dynarr_moveable.cpp(3,10): error C1083: Не удается открыть файл включение: dynarr/dynarr.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_dynarr\doctest_dynarr_m.vcxproj]
    30>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_queuelst\doctest_queuelst.cpp(3,10): error C1083: Не удается открыть файл включение: queuelst/queuelst.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_queuelst\doctest_queuelst.vcxproj]
    31>D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\prj.check\prj.check\doctest_queuelst\doctest_queuelst_moveable.cpp(3,10): error C1083: Не удается открыть файл включение: queuelst/queuelst.hpp: No such file or directory, [D:\.dima\misis2024f-24-check\misis2024f-24-04-bykova-e-yu\build.check\prj.check\prj.check\doctest_queuelst\doctest_queuelst_m.vcxproj]
